"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"G1"	0	0.325734683168747	0.025882682879531	1.61429446723738	1.9932588788784	-1.01676083057024	-0.162692711296177	1.09118958279216	1.01308525139067	1.0262432264499
"G2"	2.28098001614935	0	0.178214301947941	-0.110128154717222	0.15413692128319	2.50529678951073	-0.303738457415175	1.43409958870626	0.026723884814025	0.18594358860265
"G3"	-1.52806524392996	-0.195792499863061	0	2.63376792315505	0.382621199244474	0.799088981706634	-0.929391773400526	-0.2167914807569	-1.87326425886882	0.328839577200392
"G4"	-1.58558230983403	-0.166184823417604	-1.52186922321545	0	-0.396399828259048	-0.00514361780530669	-2.12929400371296	0.212675157753685	-1.37068092580412	-1.57800902393012
"G5"	12.1892249232672	0.50033022808834	-0.785123417939668	0.462648483532259	0	-0.507093297003491	-0.691789488567248	-0.0650551765315698	0.227467234937073	0.0191289289170194
"G6"	1.07327922626404	0.570531258547317	1.46126929016957	-0.223229439759821	0.393069721073298	0	0.0428899256052181	4.71476527448618	-0.0149302121940855	0.570978817912999
"G7"	2.79908897942419	-0.170504095720541	1.20607346032146	-4.11560537521685	0.0299417564029388	-0.748209740828471	0	0.0753551647466159	1.48186007334479	0.738369992973658
"G8"	1.04024536664184	-0.071798480347815	1.38859826939337	-0.588342644711355	-1.35508654648995	-1.07302577271997	0.759490515774158	0	0.958017495791206	-0.084723054209282
"G9"	-0.823183377972198	0.603922581777548	0.441229529338331	-1.24586093843709	0.595052380533258	0.63421312204471	1.46991718326261	1.07128329532409	0	0.475154884302179
"G10"	0.348216869741082	1.23776916749639	-0.311299236448084	0.303401361118309	1.25091349733671	1.28689951721195	-0.683497183950152	0.00562216439546907	-8.02904098286218	0
